product_id,sku,name,url_key,brand,price,original_price,discount,discount_rate,rating,review_count,sold,thumbnail,seller_id,category_id
55583871,2039712518617,Nồi Cơm Điện Tử Toshiba RC-18DH2PV(W) (1.8 Lít) - Hàng chính hãng,noi-com-dien-tu-toshiba-rc-18dh2pv-w-1-8-lit-hang-chinh-hang-p55583871,Toshiba,1311000,1990000,679000,34,4.7,303,810,https://salt.tikicdn.com/cache/280x280/ts/product/4e/49/0a/44fcedd4ba4e5dee0e43e991c1b4762e.jpg,1,1882
51998725,8224944761076,Tông đơ cắt tóc chuyên nghiệp kemei 809A,tong-do-cat-toc-chuyen-nghiep-kemei-809a-p51998725,Kemei,285000,285000,0,0,4.5,37,223,https://salt.tikicdn.com/cache/280x280/ts/product/d3/e3/41/05bf64b7a6208760790bc172a827839c.jpg,102910,1882
49011602,2935180321196,Lò vi sóng Toshiba ER-SGM20(S1)VN 20 lít - HÀNG CHÍNH HÃNG,lo-vi-song-toshiba-er-sgm20-s1-vn-20-lit-hang-chinh-hang-p49011602,Toshiba,1920000,2450000,530000,22,4.6,17,58,https://salt.tikicdn.com/cache/280x280/ts/product/1a/a2/94/89073802a93fca5d5e4239d33e5e7539.png,1,1882
37949789,4666778122771,Quạt trần Panasonic F-56XPG 4 cánh có điều khiển - Hàng chính hãng,quat-tran-panasonic-f-56xpg-4-canh-co-dieu-khien-hang-chinh-hang-p37949789,Panasonic,2770000,2770000,0,0,4.6,5,13,https://salt.tikicdn.com/cache/280x280/ts/product/9c/b1/76/78a6c0395684dabf90a1e589405c5844.png,187775,1882
26494275,3540655794833,Máy xay cà phê cầm tay L-BEANS SD-919L - xay pha máy hoặc pha phin,may-xay-ca-phe-cam-tay-l-beans-sd-919l-xay-pha-may-hoac-pha-phin-p26494275,Coffee New,3590000,3590000,0,0,5.0,2,6,https://salt.tikicdn.com/cache/280x280/ts/product/90/04/78/ab90de9e566bde55b016b6ae68b92d2d.jpg,13571,1882
11413192,3139012762815,Quạt Đứng Thân Sắt Senko DTS1607 (Hàng Chính Hãng) - Giao màu ngẫu nhiên,quat-dung-than-sat-senko-dts1607-hang-chinh-hang-giao-mau-ngau-nhien-p11413192,SENKO,482000,482000,0,0,4.7,72,251,https://salt.tikicdn.com/cache/280x280/ts/product/86/e2/dc/dceb3765ea8014d7ed3e7c4dbb4c9af2.png,187775,1882
6959429,1276481412130,Nồi Lẩu Điện Sunhouse SH525 (4L) - Hàng chính hãng,noi-lau-dien-sunhouse-sh525-4l-hang-chinh-hang-p6959429,Sunhouse,569000,569000,0,0,4.5,5,45,https://salt.tikicdn.com/cache/280x280/ts/product/26/c7/26/eb9de489ebd925a28a6e67dd7595043d.jpg,11119,1882
405170,8558791206528,Máy Sấy Quần Áo TIROSS TS880 (900W) - Hàng Chính Hãng,may-say-quan-ao-tiross-ts880-900w-hang-chinh-hang-p405170,Tiross,1299000,1299000,0,0,5.0,4,18,https://salt.tikicdn.com/cache/280x280/media/catalog/product/v/p/vptiross2.jpg,99996,1882
278965503,3973770865487,"Máy Sấy Tóc Tạo Kiểu Masuto AirStyler 5in1 Phồng Và Mượt Tóc, Công Nghệ Ion Âm Giảm Hư Tổn - Hàng chính hãng",may-say-toc-tao-kieu-masuto-airstyler-5in1-phong-va-muot-toc-cong-nghe-ion-am-giam-hu-ton-hang-chinh-hang-p278965503,Masuto,1483000,1483000,0,0,0.0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6e/8f/6e/32ab95b34a09016635b5de201efa2fa2.jpg,173338,1882
278939511,9951898024911,Tông Đơ Cắt Tóc Chuyên Nghiệp Không Dây - Hàng Chính Hãng,tong-do-cat-toc-chuyen-nghiep-khong-day-hang-chinh-hang-p278939511,LuckyJQR,360000,360000,0,0,0.0,0,3,https://salt.tikicdn.com/cache/280x280/ts/product/b3/5f/96/8c4fec8bf89733a8f9c9d7fe5a1cde09.jpg,353491,1882
278856200,3354138233050,Tủ Sấy Máy Sấy Quần Áo GDV Điều Khiển Từ Xa Công Suất 1600W - Màu Ngẫu Nhiên - Hàng Chính Hãng,tu-say-may-say-quan-ao-gdv-dieu-khien-tu-xa-cong-suat-1600w-mau-ngau-nhien-hang-chinh-hang-p278856200,GDV,640000,640000,0,0,0.0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/49/56/7a/6629256d0f2c8b9ac0e79592f4493b45.jpg,11119,1882
278679851,7653832796814,"Bếp Lẩu, Nướng Đa Năng 2 Trong 1 - KUC012591 - Hàng Chính Hãng",bep-lau-nuong-da-nang-2-trong-1-kuc012591-hang-chinh-hang-p278679851,Kuchenzimmer,867000,1278000,411000,32,0.0,0,1,https://salt.tikicdn.com/cache/280x280/ts/product/a7/ce/4f/43227324f2953da3b0f866ba3da3cc99.png,1,1882
278619219,9247832699682,Lò vi sóng có nướng Electrolux EMG23D22B 23 lít - Hàng chính hãng,lo-vi-song-co-nuong-electrolux-emg23d22b-23-lit-hang-chinh-hang-p278619219,Electrolux,2486000,2990000,504000,17,5.0,1,1,https://salt.tikicdn.com/cache/280x280/ts/product/6f/dd/96/9d0188fe2760b5855648fe9720185781.jpg,1,1882
278058552,7127604047526,Nồi hấp đa năng Bear EFS-4H27E - Hàng chính hãng,noi-hap-da-nang-bear-efs-4h27e-hang-chinh-hang-p278058552,Bear,1290000,1290000,0,0,0.0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/87/3e/c1/2100489e8da7c31855c3e675007daaed.jpg,162514,1882
